,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Feb 19, 2020",Banks can’t treat customers like shit in North America. They couldn’t get used to it,124,cbEV72,/company/E-TRADE/,Finance,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
1,"Feb 21, 2020",LOL. You know so little but you're funny,0,cccp2,nan,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
2,"Feb 22, 2020",Big facts,0,thisisbill,/company/Microsoft/,Eng,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
3,"Feb 20, 2020",Dirty money on Netflix. Episode 4,47,PizzaDeHut,/company/Nomura/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
4,"Feb 21, 2020","Yup, go read Matt Taibbi's excellent reporting on HSBC",0,hawi40,/company/Amazon/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
5,"Feb 21, 2020",Wells Fargo $3b today,0,bjVy02,/company/Indeed/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
6,"Feb 21, 2020",Too busy laundering money,31,XNkg45,/company/Amazon/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
7,"Feb 22, 2020",They had gotten kicked out of Colombia for the same. Guess who they were doing it for.,0,legonerds,nan,Product,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
8,"Feb 22, 2020",My dude el chapoHis tc: 30B,0,thisisbill,/company/Microsoft/,Eng,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
9,"Feb 21, 2020",I used hsbc and it’s a pain in the ass to do anything online or over the phone,24,la 🍌 ,/company/Amazon/,Finance,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
10,"Feb 21, 2020","Heh, wanna talk about bad UIs? I got ya fam.",1,RrEeEeEe!,/company/MassMutual/,Eng,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
11,"Feb 22, 2020",Same experience here. I’m the Treasurer for my US location. I do everything I can to avoid any interaction with HSBC. Even projects that will be beneficial to my company I avoid.  A simple call to tech support is a minimum of 30 minutes and you will be routes to multiple people. It is an awful bank to manage.,0,acctgguy,/company/Mubea/,Finance,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
12,"Feb 21, 2020",Because it is corrupted chinese money laundry bank,20,&$@&$&@,/company/eBay/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
13,"Feb 21, 2020",So true.  Karma bites hard.,4,chaji_iku,/company/Samsung/,SEND PRIVATE MESSAGE,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
0,"Dec 20, 2020","The perils of any corporate job here bud.Prioritize your freedom and mental health, do things that will help you maximize these things.",4,Masssive,/company/Google/,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
1,"Dec 20, 2020",Amongst this COVID situation I feel insecure if I can would be able to join any other company,0,mfguy,/company/HSBC/,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
2,"Dec 20, 2020","Don’t worry, time is always on your side.FWIW, this year has made me realize that working at FAANG is just as unfulfilling—as such, I’ll be handing in my notice in early Jan to take a sabbatical.Personal time and mental health is more important than working in a place that you’re not happy with.",2,Masssive,/company/Google/,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
3,"Dec 20, 2020",Run as soon as you can.,2,moonberryq,/company/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale/,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
4,"Dec 20, 2020","Trying to , started studying for various entrance exams , will be applying for colleges coming July",0,mfguy,/company/HSBC/,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
5,Mar 11,"I agree 100%, I am also part of RBWM and 2 weeks ago we were told tgey are making close to 200 people redundant from HSBC Digital. Bear in mind all good and strong engineers plus delivery and eng managers. Fun!",0,EDGS77,nan,SEND PRIVATE MESSAGE,/post/HSBC-office-life-VfYvNPZE,HSBC
0,"Aug 7, 2019",I just got quoted 3.5 for a 10/1 ARM from Wells Fargo. Is this a good refinance rate? I'm in San Jose if that matters.,0,efdF37,/company/Adobe/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
1,"Aug 8, 2019","Refi rates are higher than those for new loans, at least that's what I see from WF.",0,efdF37,/company/Adobe/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
2,"Aug 8, 2019",Wf isn't competitive at the moment,0,public2,/company/Facebook/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
3,"Aug 7, 2019",OP - what fees are there to refinance?,0,salesbra,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
4,"Aug 8, 2019",No fees. They are giving credit which covers Costs.,0,YBjl12,/company/Verizon/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
5,"Aug 8, 2019",Didn't see refi rates on HSBC. WF is also crediting most fees back. What rate are you getting?,0,efdF37,/company/Adobe/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
6,"Aug 7, 2019",What are the refinance rates you both are getting?,0,Xyzyz,nan,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
7,"Aug 7, 2019",Look up hsbc site,0,YBjl12,/company/Verizon/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
8,"Aug 7, 2019",Wells Fargo man. They are so desperate,0,dowop,nan,Product,/post/HSBC-Mortgage-VbOeJsuz,HSBC
9,"Aug 7, 2019",Citi *,0,public2,/company/Facebook/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
10,"Aug 8, 2019",Edited,0,YBjl12,/company/Verizon/,SEND PRIVATE MESSAGE,/post/HSBC-Mortgage-VbOeJsuz,HSBC
0,"Feb 21, 2020","Stay away from HSBC, they have very poor customer service",1,RcYP36,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
1,"Jan 30, 2020",We pay more than marcus,0,cbEV72,/company/E-TRADE/,Finance,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
2,"Jan 30, 2020",Rate?,0,sqrteng,nan,IT,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
3,"Jan 30, 2020",PSA is 1.75%,0,cbEV72,/company/E-TRADE/,Finance,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
4,"Jan 31, 2020",Buy Tesla stock,0,pwr2hw2sw,/company/Qualcomm/,SEND PRIVATE MESSAGE,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
5,"Jan 30, 2020","I like Marcus so far although, they lower the rate which pretty much is happening across the board.",0,sqrteng,nan,IT,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
6,"Jan 30, 2020",i like marcus so far,0,breakwall,/company/Tesla/,SEND PRIVATE MESSAGE,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
0,"Mar 3, 2020",Depends. What's your role at aws?,0,eda1,/company/Facebook/,Eng,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
1,"Mar 3, 2020",Oh. Don't go to banking from tech companies...not worth it,0,eda1,/company/Facebook/,Eng,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
2,"Mar 3, 2020","Fair enough, thank you.",0,3wsg,/company/Amazon/,IT,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
3,"Mar 4, 2020",They launder money for terroristshttps://www.google.com/amp/s/www.forbes.com/sites/afontevecchia/2012/07/16/hsbc-helped-terrorists-iran-mexican-drug-cartels-launder-money-senate-report-says/amp/,0,ltrance,/company/Cruise/,SEND PRIVATE MESSAGE,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
4,"Mar 3, 2020",Ok.,0,3wsg,/company/Amazon/,IT,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
5,"Mar 3, 2020",No.,0,ahooz5,/company/Facebook/,SEND PRIVATE MESSAGE,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
6,"Mar 3, 2020",No,0,imac345,/company/Apple/,SEND PRIVATE MESSAGE,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
0,Feb 3,"If those are your only two options, then VOO",1,xmHm08,/company/Uber/,SEND PRIVATE MESSAGE,/post/HSBC-andor-VOO-7XauNmiV,HSBC
0,"May 18, 2020",Can you DM me the HSBC contact details?,0,FVQL65,/company/Hewlett-Packard-Enterprise/,SEND PRIVATE MESSAGE,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
1,"May 19, 2020",No contact as such just called there general number.,0,yoevstc,/company/Amazon/,SEND PRIVATE MESSAGE,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
2,"May 18, 2020",ARM or fixed?,0,ijbhyt,/company/Cloudera/,SEND PRIVATE MESSAGE,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
3,"May 19, 2020",ARM..,0,yoevstc,/company/Amazon/,SEND PRIVATE MESSAGE,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
4,"May 19, 2020","Don't have a loan with them but I  banked with them for a few years. Their customer service is decent - not the best, not the worst.",0,yoda58,/company/Mastercard/,SEND PRIVATE MESSAGE,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
0,"Jun 4, 2020",Lol.. have you seen HSBCs past record. It's the TCS of finance.,5,2commaclub,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
1,"Jun 5, 2020",What does TCS do ?,0,words,/company/Google/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
2,"Jun 5, 2020","Workforce that is technically mediocre to incompetent , dishonest borderline fraudulent visa practices, general lack of ethics etc",0,2commaclub,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
3,"Jun 5, 2020","I oppose the US meddling with China’s internal fare but sure, I support occupying Wall Street.",2,qxxusy,/company/Yahoo/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
4,"Jun 6, 2020",Since when hk is not part of China?,1,☘️🌿🌱,/company/Facebook/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
5,"Jun 10, 2020",Any one who thinks HK is not part of China is living in an imaginary world lmao.,0,asopdnb ,/company/Yahoo/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
6,"Jun 4, 2020",Hsbc isn’t wallstreet,4,Sheep@FB ,/company/Facebook/,SEND PRIVATE MESSAGE,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
0,"Sep 16, 2019","People have always said that bank stock analysts have a conflict of interest. but still, it’s just one analyst rating.",1,Ìñδèèδ,/company/Indeed/,SEND PRIVATE MESSAGE,/post/HSBC-helps-Uber-and-Lyft-zCu2rYai,HSBC
1,"Sep 16, 2019",The banks are the ones that manipulated investors into buying into the IPO in the first place.  Investors burned. Now money burning meh cash flow company’s are screwed.,0,LInR08,/company/Compass/,SEND PRIVATE MESSAGE,/post/HSBC-helps-Uber-and-Lyft-zCu2rYai,HSBC
2,"Sep 16, 2019",Banks don’t manipulate you into a equity any more than your realtor manipulated you into an offer.Adults must take responsibility for their actions,0,ixptl12,nan,Eng,/post/HSBC-helps-Uber-and-Lyft-zCu2rYai,HSBC
3,"Sep 16, 2019",Looking to unload,0,vespa,/company/Intuitive-Surgical/,SEND PRIVATE MESSAGE,/post/HSBC-helps-Uber-and-Lyft-zCu2rYai,HSBC
0,"Jan 31, 2020",I used to work there and just spoke to a couple of my friends who are still there. They’re announcing layoffs in a couple of days,0,J-MeDiamon,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Anyone-here-getting-cut-from-HSBC-layoffs-21HCRymz,HSBC
0,"May 14, 2020",I got 135k base (was on 725 a day). How did yours go,0,CMzV56,/company/HSBC/,SEND PRIVATE MESSAGE,/post/HSBC-converting-from-contract-to-Perm-ZDuHUprm,HSBC
1,May 5,Gcb4 or 5?,0,Ilovepm,/company/HSBC/,SEND PRIVATE MESSAGE,/post/HSBC-converting-from-contract-to-Perm-ZDuHUprm,HSBC
2,May 5,4,0,Cvgjmk,/company/HSBC/,SEND PRIVATE MESSAGE,/post/HSBC-converting-from-contract-to-Perm-ZDuHUprm,HSBC
0,"May 2, 2020",Cons: HSBCpros: there are no pros with HSBC,2,belonita,nan,SEND PRIVATE MESSAGE,/post/pros-and-cons-of-HSBC-Direct-Savings-HYSA-nhyRrPOJ,HSBC
1,"May 2, 2020","I have ally. No gimmicks, minimums and has a checking account option w/ debit card. Have had account for almost a decade now and love it.",1,Yazz31 ,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/pros-and-cons-of-HSBC-Direct-Savings-HYSA-nhyRrPOJ,HSBC
